AlertID,SensorID,AlertType,Resolved
A001,S001,High Temperature,Yes
A002,S002,Low Temperature,No
A003,S003,Normal,Yes
A004,S004,High Temperature,No
A005,S005,Normal,Yes
A006,S006,High Temperature,No
A007,S007,Normal,Yes
A008,S008,Low Temperature,No
A009,S009,High Temperature,Yes
A010,S010,Normal,No
A011,S011,High Temperature,Yes
A012,S012,Low Temperature,No
A013,S013,Normal,Yes
A014,S014,High Temperature,No
A015,S015,Low Temperature,Yes
A016,S001,Normal,No
A017,S002,High Temperature,Yes
A018,S003,Low Temperature,No
A019,S004,Normal,Yes
A020,S005,High Temperature,No
A021,S006,Low Temperature,Yes
A022,S007,Normal,No
A023,S008,High Temperature,Yes
A024,S009,Low Temperature,No
