CropID,Field,Type,Yield,SensorID
C001,Field 1,Wheat,2000,S001
C002,Field 2,Corn,1500,S002
C003,Field 3,Soy,1800,S003
C004,Field 1,Wheat,2100,S004
C005,Field 2,Corn,1550,S005
C006,Field 3,Soy,1750,S006
C007,Field 1,Wheat,1950,S007
C008,Field 2,Corn,1600,S008
C009,Field 3,Soy,1820,S009
C010,Field 1,Wheat,2005,S010
C011,Field 2,Corn,1580,S011
C012,Field 3,Soy,1775,S012
C013,Field 1,Wheat,2050,S013
C014,Field 2,Corn,1620,S014
C015,Field 3,Soy,1805,S015
C016,Field 1,Wheat,1980,S001
C017,Field 2,Corn,1590,S002
C018,Field 3,Soy,1790,S003
