DebrisID,SatelliteID,Size,Velocity
D001,S001,Small,5.8
D002,S003,Medium,7.3
D003,S005,Large,8.1
D004,S007,Small,6.4
D005,S002,Large,9.0
D006,S006,Medium,7.7
D007,S004,Large,8.9
D008,S008,Small,5.6
D009,S010,Medium,6.8
D010,S012,Large,9.2
D011,S011,Small,5.9
D012,S013,Medium,7.1
D013,S014,Large,8.5
D014,S015,Medium,7.4
D015,S009,Small,6.0
D016,S002,Small,5.7
D017,S001,Medium,7.6
D018,S003,Large,8.2
D019,S005,Small,5.5
D020,S007,Medium,7.8
D021,S006,Large,8.7
D022,S004,Small,5.4
D023,S008,Medium,7.0
D024,S010,Large,8.8
D025,S012,Small,5.3
