RecordID,PlantID,OutputMWh,Date
R001,P001,45,2023-09-01
R002,P002,70,2023-09-01
R003,P003,95,2023-09-01
R004,P004,55,2023-09-01
R005,P005,35,2023-09-01
R006,P006,50,2023-09-01
R007,P007,60,2023-09-01
R008,P008,85,2023-09-01
R009,P009,65,2023-09-01
R010,P010,40,2023-09-01
R011,P011,55,2023-09-01
R012,P012,75,2023-09-01
R013,P013,90,2023-09-01
R014,P014,45,2023-09-01
R015,P015,50,2023-09-01
R016,P001,48,2023-09-02
R017,P002,72,2023-09-02
R018,P003,97,2023-09-02
R019,P004,58,2023-09-02
R020,P005,38,2023-09-02
R021,P006,53,2023-09-02
R022,P007,62,2023-09-02
R023,P008,87,2023-09-02
R024,P009,67,2023-09-02
