OperatorID,Name,Region
OP01,AutoDrive Inc.,North
OP02,Transport Plus,East
OP03,DriveNow,South
OP04,FastFleet,West
OP05,UrbanMovers,Central
OP06,RideEasy,North
OP01,AutoDrive Inc.,North
OP03,DriveNow,South
OP02,Transport Plus,East
OP04,FastFleet,West
OP05,UrbanMovers,Central
OP06,RideEasy,North
OP02,Transport Plus,East
OP04,FastFleet,West
OP01,AutoDrive Inc.,North
OP03,DriveNow,South
OP05,UrbanMovers,Central
OP06,RideEasy,North
OP02,Transport Plus,East
OP01,AutoDrive Inc.,North
OP03,DriveNow,South
OP04,FastFleet,West
OP05,UrbanMovers,Central
OP06,RideEasy,North
