RobotID,Model,Manufacturer,Year
R101,SurgeonBot-A1,Robosoft Inc.,2020
R102,PrecisionSurgery-X,MediTech Ltd.,2021
R103,NanoSurge-3000,NanoRobotics,2019
R104,OrthoRob-Plus,OrthoTech,2022
R105,CardioAssist,HeartTech,2021
R106,NeuroBot-Alpha,BrainTech,2020
R107,Opthalmic-Surgeon,VisionTech,2019
R108,DermBot-Z,SkinCare Robotics,2022
R109,GastroRob-V,GastroTech,2021
R110,UroSurgery-Y,UroTech,2019
R111,SpineAssist,SpineRobotics,2020
R112,ENT-Specialist,ENTTech,2022
R113,PediatricNano,ChildCare Robotics,2021
R114,GeneralSurg-Bot,GenSurgTech,2020
R115,OncoAssist,Oncology Robotics,2021
