UtilityID,BuildingID,Type,MonthlyUsage
U001,B001,Water,1200
U002,B001,Electricity,3000
U003,B002,Water,1500
U004,B002,Electricity,4500
U005,B003,Water,800
U006,B003,Electricity,2100
U007,B004,Water,1100
U008,B004,Electricity,3800
U009,B005,Water,1600
U010,B005,Electricity,5000
U011,B006,Water,2000
U012,B006,Electricity,7000
U013,B007,Water,900
U014,B007,Electricity,2300
U015,B008,Water,600
U016,B008,Electricity,1800
U017,B009,Water,400
U018,B009,Electricity,1200
U019,B010,Water,1300
U020,B010,Electricity,3500
U021,B011,Water,2500
U022,B011,Electricity,9000
U023,B012,Water,3000
U024,B012,Electricity,15000
U025,B013,Water,1700
