DistributionID,PlantID,Region,EnergySuppliedMW
D001,PP001,South,140
D002,PP002,West,190
D003,PP003,Northwest,100
D004,PP004,Southwest,75
D005,PP005,South,170
D006,PP006,Southwest,150
D007,PP007,Southeast,85
D008,PP008,Northeast,490
D009,PP009,Midwest,290
D010,PP010,Southwest,120
D011,PP011,South,230
D012,PP012,Northwest,105
D013,PP013,West,90
D014,PP014,Midwest,340
D015,PP015,Southeast,95
D016,PP001,Central,10
D017,PP002,Central,10
D018,PP003,Central,20
D019,PP004,Central,5
D020,PP005,Central,10
D021,PP006,Central,10
D022,PP007,Central,5
D023,PP008,Central,10
