SensorID,VehicleID,Type,Location
S001,V001,Camera,Front
S002,V002,Lidar,Roof
S003,V003,Radar,Rear
S004,V004,Ultrasonic,Side
S005,V005,Camera,Rear
S006,V006,Lidar,Front
S007,V007,Radar,Roof
S008,V008,Ultrasonic,Front
S009,V009,Camera,Roof
S010,V010,Lidar,Rear
S011,V011,Radar,Side
S012,V012,Ultrasonic,Front
S013,V013,Camera,Rear
S014,V014,Lidar,Roof
S015,V015,Radar,Front
S016,V001,Ultrasonic,Side
S017,V002,Camera,Front
S018,V003,Lidar,Roof
S019,V004,Radar,Rear
S020,V005,Ultrasonic,Side
S021,V006,Camera,Front
S022,V007,Lidar,Roof
S023,V008,Radar,Rear
S024,V009,Ultrasonic,Side
S025,V010,Camera,Front
